"AB_category"	"category_description"	"gene"	"gene_description"
"Copper (Cu)"	""	"mymT"	"Cu(I)-binding metallothionein mymT; Metallothioneins are small proteins that have a high content of cysteine residues wich allow them to bind heavy metal ions through clusters of thiolate bonds. MymT binds up to seven ions of Cu+, with a preference for four to six Cu+ ions, in a solvent-shielded core. MymT protects M. tuberculosis from copper toxicity. Up-regulated by copper, cadmium, cobalt, nickel and zinc, but not manganese."
"Nickel (Ni)"	""	"mymT"	"Cu(I)-binding metallothionein mymT; Metallothioneins are small proteins that have a high content of cysteine residues wich allow them to bind heavy metal ions through clusters of thiolate bonds. MymT binds up to seven ions of Cu+, with a preference for four to six Cu+ ions, in a solvent-shielded core. MymT protects M. tuberculosis from copper toxicity. Up-regulated by copper, cadmium, cobalt, nickel and zinc, but not manganese."
"Zinc (Zn)"	""	"mymT"	"Cu(I)-binding metallothionein mymT; Metallothioneins are small proteins that have a high content of cysteine residues wich allow them to bind heavy metal ions through clusters of thiolate bonds. MymT binds up to seven ions of Cu+, with a preference for four to six Cu+ ions, in a solvent-shielded core. MymT protects M. tuberculosis from copper toxicity. Up-regulated by copper, cadmium, cobalt, nickel and zinc, but not manganese."
"Phenanthridine"	""	"ebrA"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of proton"
"Acridine"	""	"ebrA"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of proton"
"Xanthene"	""	"ebrA"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of proton"
"Azin"	""	"ebrA"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of proton"
"Phenanthridine"	""	"ebrB"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of protons"
"Acridine"	""	"ebrB"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of protons"
"Xanthene"	""	"ebrB"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of protons"
"Azin"	""	"ebrB"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of protons"
"Copper (Cu)"	""	"copA"	"Encode for copper uptake ATPases; also resistant to Ag+ ; periplasmic protein; Probably involved in copper and silver Export. Mediates copper resistance by sequestration of copper in the periplasm along with the copper-binding protein CopC. May have oxidase activity."
"Silver (Ag)"	""	"copA"	"Encode for copper uptake ATPases; also resistant to Ag+ ; periplasmic protein; Probably involved in copper and silver Export. Mediates copper resistance by sequestration of copper in the periplasm along with the copper-binding protein CopC. May have oxidase activity."
"Copper (Cu)"	""	"copB"	"Copper resistance protein B. It mediates copper resistance by its sequestration in the outer membrane. Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Copper (Cu)"	""	"copC"	"Mediates copper resistance by sequestration of copper in the periplasm along with the copper-binding protein CopA. Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Copper (Cu)"	""	"copD"	"Involved in copper resistance. Appears to be involved in copper uptake in conjunction with CopC. Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Mercury (Hg)"	""	"merR"	"Mediates the mercuric-dependent induction of mercury resistance operon. In the absence of mercury MerR represses transcription by binding tightly to the mer operator region; when mercury is present the dimeric complex binds a single ion and becomes a potent transcriptional activator, while remaining bound to the mer site."
"Mercury (Hg)"	""	"merT"	"Inner mebrane protein. Involved in mercuric transport. Passes a mercury ion from the periplasmic MerP protein to the mercuric reductase (MerA)."
"Mercury (Hg)"	""	"merP"	"Mercuric transport protein periplasmic component; hypersensitivity to the mercuric ions are associated with the merP gene; MerP does not act to transport Hg(II) directly. Mercury scavenger that specifically binds to one mercury ion and which passes it to the mercuric reductase (merA) via the merT protein."
"Quaternary Ammonium Compounds (QACs)"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Bisbenzimide"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Phenanthridine"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Xanthene"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Acridine"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Biguanides"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Triarylmethane"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Diamidine"	""	"mdeA"	"Methionine gamma-lyase (MdeA)"
"Cadmium (Cd)"	""	"czcC"	"Muter membrane protein; CzcC protein appears to modify the specificity of the system, perhaps by acting on the CzcB protein. When the CzcC protein is added to CzcA and CzcB, the efflux system gains specificity for cadmium and cobalt."
"Zinc (Zn)"	""	"czcC"	"Muter membrane protein; CzcC protein appears to modify the specificity of the system, perhaps by acting on the CzcB protein. When the CzcC protein is added to CzcA and CzcB, the efflux system gains specificity for cadmium and cobalt."
"Cobalt (Co)"	""	"czcC"	"Muter membrane protein; CzcC protein appears to modify the specificity of the system, perhaps by acting on the CzcB protein. When the CzcC protein is added to CzcA and CzcB, the efflux system gains specificity for cadmium and cobalt."
"Cadmium (Cd)"	""	"czcB"	"Cobalt-zinc-cadmium resistance protein CzcB; Membrane fusion protein bridges inner and outer cell membranes (in periplasm); CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete czc efflux system (CzcABC). The CzcB protein is thought to funnel zinc cations to the CzcA transport protein."
"Zinc (Zn)"	""	"czcB"	"Cobalt-zinc-cadmium resistance protein CzcB; Membrane fusion protein bridges inner and outer cell membranes (in periplasm); CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete czc efflux system (CzcABC). The CzcB protein is thought to funnel zinc cations to the CzcA transport protein."
"Cobalt (Co)"	""	"czcB"	"Cobalt-zinc-cadmium resistance protein CzcB; Membrane fusion protein bridges inner and outer cell membranes (in periplasm); CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete czc efflux system (CzcABC). The CzcB protein is thought to funnel zinc cations to the CzcA transport protein."
"Cadmium (Cd)"	""	"czcA"	"Cobalt-zinc-cadmium resistance protein; the basic inner membrane transport protein; Has a low cation transport activity for cobalt, it is essential for the expression of cobalt, zinc, and cadmium resistance. CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete CZC efflux system (CzcABC)."
"Zinc (Zn)"	""	"czcA"	"Cobalt-zinc-cadmium resistance protein; the basic inner membrane transport protein; Has a low cation transport activity for cobalt, it is essential for the expression of cobalt, zinc, and cadmium resistance. CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete CZC efflux system (CzcABC)."
"Cobalt (Co)"	""	"czcA"	"Cobalt-zinc-cadmium resistance protein; the basic inner membrane transport protein; Has a low cation transport activity for cobalt, it is essential for the expression of cobalt, zinc, and cadmium resistance. CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete CZC efflux system (CzcABC)."
"Cadmium (Cd)"	""	"czcD"	"Transporter gene influence Zn++ and Cd++ resistance; Necessary for activation of the czc determinant; may function as a membrane-bound sensor protein or as a metal ion transporter."
"Zinc (Zn)"	""	"czcD"	"Transporter gene influence Zn++ and Cd++ resistance; Necessary for activation of the czc determinant; may function as a membrane-bound sensor protein or as a metal ion transporter."
"Cobalt (Co)"	""	"czcD"	"Transporter gene influence Zn++ and Cd++ resistance; Necessary for activation of the czc determinant; may function as a membrane-bound sensor protein or as a metal ion transporter."
"Chromium (Cr)"	""	"chrA"	"Chromate (CrO4) transport protein ChrA; Responsible for the inducibility of the resistance"
"Quaternary Ammonium Compounds (QACs)"	""	"qacC/qacD/smr"	"Quaternary ammonium compound-resistance protein QacC (also called as QacD or smr); Multidrug exporter. Is implicated for the resistance to bacteriocidal quaternary ammonium compounds and ethidium bromide. It confers resistance to toxic organic cations via proton-dependent export."
"Phenanthridine"	""	"qacC/qacD/smr"	"Quaternary ammonium compound-resistance protein QacC (also called as QacD or smr); Multidrug exporter. Is implicated for the resistance to bacteriocidal quaternary ammonium compounds and ethidium bromide. It confers resistance to toxic organic cations via proton-dependent export."
"Xanthene"	""	"qacC/qacD/smr"	"Quaternary ammonium compound-resistance protein QacC (also called as QacD or smr); Multidrug exporter. Is implicated for the resistance to bacteriocidal quaternary ammonium compounds and ethidium bromide. It confers resistance to toxic organic cations via proton-dependent export."
"Triarylmethane"	""	"qacC/qacD/smr"	"Quaternary ammonium compound-resistance protein QacC (also called as QacD or smr); Multidrug exporter. Is implicated for the resistance to bacteriocidal quaternary ammonium compounds and ethidium bromide. It confers resistance to toxic organic cations via proton-dependent export."
"Zinc (Zn)"	""	"zraR/hydH"	"Transcriptional regulatory protein ZraR; Member of the two-component regulatory system ZraS/ZraR. When activated by ZraS it acts in conjunction with sigma-54 to regulate the Expression of zraP. Positively autoregulates the Expression of the zraSR operon."
"Zinc (Zn)"	""	"zraS/hydG"	"Sensor protein ZraS; Member of the two-component regulatory system ZraS/ZraR. Functions as a membrane-associated protein kinase that phosphorylates ZraR in response to high concentrations of zinc or lead in the medium."
"Lead (Pb)"	""	"zraS/hydG"	"Sensor protein ZraS; Member of the two-component regulatory system ZraS/ZraR. Functions as a membrane-associated protein kinase that phosphorylates ZraR in response to high concentrations of zinc or lead in the medium."
"Nickel (Ni)"	""	"fecD"	"Fe(3+) dicitrate transport system permease protein FecD; Part of the binding-protein-dependent transport system for citrate-dependent Fe3+. Probably responsible for the translocation of the substrate across the membrane."
